year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1918,183.25,183.2,183.17,183.14,183.22,183.34,183.4,183.43,183.45,183.44,183.46,183.44
1919,183.38,183.32,183.28,183.31,183.38,183.45,183.48,183.47,183.46,183.42,183.43,183.39
1920,183.29,183.27,183.28,183.36,183.43,183.52,183.58,183.6,183.54,183.5,183.43,183.36
1921,183.31,183.22,183.18,183.23,183.35,183.44,183.48,183.5,183.5,183.44,183.35,183.27
1922,183.17,183.11,183.09,183.15,183.29,183.36,183.45,183.5,183.52,183.45,183.39,183.31
1923,183.23,183.15,183.12,183.11,183.18,183.21,183.27,183.3,183.32,183.3,183.28,183.22
1924,183.15,183.07,183.01,183.02,183.05,183.09,183.12,183.2,183.26,183.28,183.2,183.11
1925,183.02,182.96,182.93,182.94,182.98,183.06,183.12,183.16,183.15,183.1,183.01,182.92
1926,182.83,182.76,182.74,182.72,182.76,182.85,182.96,183.02,183.12,183.19,183.18,183.19
1927,183.12,183.08,183.07,183.12,183.27,183.39,183.5,183.52,183.5,183.49,183.44,183.38
1928,183.31,183.24,183.2,183.25,183.36,183.44,183.56,183.62,183.69,183.74,183.68,183.57
1929,183.46,183.42,183.44,183.47,183.47,183.51,183.57,183.56,183.56,183.55,183.52,183.44
1930,183.37,183.34,183.3,183.28,183.39,183.48,183.58,183.58,183.53,183.53,183.47,183.42
1931,183.33,183.25,183.18,183.16,183.22,183.3,183.39,183.41,183.4,183.42,183.43,183.42
1932,183.37,183.34,183.3,183.28,183.38,183.45,183.52,183.58,183.58,183.48,183.45,183.38
1933,183.32,183.28,183.24,183.28,183.43,183.52,183.56,183.57,183.57,183.57,183.53,183.47
1934,183.42,183.37,183.34,183.36,183.47,183.55,183.58,183.55,183.58,183.61,183.59,183.55
1935,183.47,183.42,183.4,183.4,183.47,183.53,183.62,183.65,183.63,183.57,183.52,183.44
1936,183.39,183.34,183.33,183.35,183.51,183.59,183.59,183.57,183.57,183.51,183.43,183.33
1937,183.31,183.29,183.27,183.27,183.42,183.5,183.54,183.6,183.61,183.58,183.57,183.49
1938,183.42,183.38,183.35,183.43,183.62,183.72,183.73,183.72,183.69,183.61,183.57,183.49
1939,183.46,183.43,183.4,183.42,183.52,183.66,183.75,183.75,183.71,183.62,183.51,183.43
1940,183.33,183.25,183.18,183.16,183.28,183.45,183.53,183.55,183.53,183.48,183.46,183.39
1941,183.32,183.25,183.18,183.21,183.34,183.44,183.49,183.52,183.61,183.71,183.66,183.57
1942,183.48,183.41,183.38,183.38,183.51,183.59,183.61,183.62,183.65,183.64,183.65,183.6
1943,183.53,183.49,183.45,183.44,183.56,183.73,183.8,183.8,183.75,183.67,183.59,183.48
1944,183.36,183.28,183.24,183.23,183.38,183.55,183.66,183.76,183.78,183.7,183.62,183.52
1945,183.42,183.38,183.38,183.51,183.53,183.56,183.63,183.65,183.7,183.64,183.58,183.52
1946,183.45,183.4,183.36,183.42,183.45,183.52,183.6,183.61,183.62,183.62,183.63,183.57
1947,183.47,183.38,183.32,183.36,183.49,183.67,183.75,183.74,183.73,183.66,183.57,183.46
1948,183.37,183.27,183.21,183.27,183.4,183.42,183.46,183.51,183.53,183.45,183.43,183.4
1949,183.33,183.28,183.22,183.24,183.36,183.44,183.57,183.64,183.6,183.6,183.56,183.48
1950,183.42,183.37,183.33,183.37,183.57,183.74,183.82,183.86,183.83,183.82,183.77,183.69
1951,183.57,183.51,183.52,183.59,183.71,183.75,183.8,183.8,183.83,183.84,183.79,183.7
1952,183.63,183.56,183.5,183.52,183.58,183.62,183.77,183.86,183.82,183.67,183.52,183.46
1953,183.37,183.32,183.28,183.33,183.4,183.57,183.69,183.72,183.67,183.57,183.45,183.4
1954,183.31,183.25,183.2,183.22,183.44,183.57,183.62,183.59,183.52,183.47,183.41,183.33
1955,183.24,183.17,183.16,183.21,183.3,183.37,183.39,183.47,183.45,183.49,183.47,183.4
1956,183.31,183.25,183.16,183.16,183.22,183.32,183.43,183.48,183.48,183.42,183.37,183.3
1957,183.21,183.13,183.12,183.14,183.26,183.35,183.46,183.48,183.48,183.43,183.4,183.34
1958,183.26,183.21,183.16,183.14,183.18,183.24,183.36,183.4,183.47,183.44,183.43,183.37
1959,183.28,183.21,183.19,183.18,183.29,183.4,183.46,183.52,183.63,183.64,183.56,183.44
1960,183.37,183.3,183.22,183.24,183.47,183.56,183.56,183.55,183.53,183.45,183.4,183.34
1961,183.24,183.18,183.17,183.19,183.29,183.36,183.38,183.38,183.42,183.41,183.39,183.33
1962,183.24,183.18,183.15,183.15,183.25,183.35,183.38,183.41,183.47,183.45,183.35,183.28
1963,183.19,183.14,183.11,183.18,183.24,183.35,183.41,183.44,183.44,183.41,183.36,183.29
1964,183.21,183.15,183.09,183.09,183.3,183.41,183.48,183.51,183.54,183.51,183.45,183.36
1965,183.28,183.21,183.16,183.18,183.31,183.38,183.41,183.44,183.43,183.45,183.41,183.39
1966,183.33,183.27,183.26,183.28,183.36,183.47,183.49,183.54,183.52,183.47,183.42,183.37
1967,183.31,183.26,183.21,183.29,183.39,183.45,183.5,183.53,183.49,183.44,183.41,183.34
1968,183.26,183.19,183.14,183.23,183.33,183.49,183.63,183.72,183.79,183.78,183.71,183.61
1969,183.56,183.53,183.46,183.46,183.55,183.57,183.58,183.59,183.54,183.5,183.44,183.35
1970,183.3,183.24,183.19,183.18,183.36,183.5,183.59,183.61,183.6,183.59,183.65,183.6
1971,183.51,183.45,183.44,183.47,183.56,183.66,183.7,183.7,183.67,183.65,183.62,183.56
1972,183.48,183.42,183.42,183.43,183.55,183.58,183.6,183.68,183.71,183.68,183.6,183.49
1973,183.43,183.36,183.38,183.43,183.58,183.67,183.73,183.8,183.8,183.74,183.65,183.58
1974,183.5,183.44,183.39,183.4,183.52,183.63,183.72,183.77,183.79,183.77,183.76,183.69
1975,183.62,183.57,183.51,183.46,183.55,183.62,183.69,183.68,183.66,183.6,183.59,183.58
1976,183.49,183.42,183.4,183.49,183.57,183.59,183.63,183.62,183.55,183.46,183.35,183.24
1977,183.16,183.1,183.13,183.2,183.27,183.31,183.4,183.44,183.58,183.65,183.62,183.54
1978,183.48,183.36,183.31,183.3,183.35,183.44,183.52,183.57,183.61,183.55,183.43,183.34
1979,183.25,183.21,183.24,183.31,183.5,183.65,183.68,183.68,183.67,183.61,183.6,183.53
1980,183.47,183.4,183.33,183.35,183.39,183.43,183.46,183.49,183.55,183.53,183.46,183.37
1981,183.27,183.22,183.22,183.32,183.4,183.47,183.51,183.49,183.41,183.38,183.35,183.28
1982,183.23,183.16,183.13,183.19,183.35,183.41,183.5,183.57,183.58,183.65,183.67,183.61
1983,183.56,183.49,183.47,183.48,183.51,183.59,183.64,183.63,183.61,183.64,183.61,183.58
1984,183.49,183.44,183.4,183.39,183.49,183.59,183.65,183.66,183.63,183.61,183.58,183.55
1985,183.48,183.42,183.41,183.45,183.58,183.66,183.74,183.81,183.86,183.91,183.89,183.81
1986,183.7,183.63,183.61,183.68,183.74,183.76,183.81,183.84,183.81,183.79,183.75,183.67
1987,183.58,183.5,183.44,183.41,183.42,183.46,183.5,183.55,183.53,183.46,183.4,183.37
1988,183.29,183.22,183.17,183.2,183.24,183.26,183.27,183.39,183.44,183.41,183.46,183.46
1989,183.41,183.33,183.28,183.31,183.39,183.5,183.53,183.52,183.5,183.41,183.38,183.27
1990,183.19,183.13,183.09,183.08,183.18,183.25,183.35,183.36,183.38,183.39,183.38,183.31
1991,183.23,183.16,183.14,183.22,183.32,183.37,183.46,183.46,183.44,183.43,183.46,183.45
1992,183.37,183.3,183.25,183.22,183.32,183.36,183.45,183.47,183.52,183.54,183.5,183.47
1993,183.41,183.32,183.24,183.24,183.38,183.48,183.56,183.62,183.62,183.58,183.52,183.46
1994,183.39,183.32,183.28,183.3,183.4,183.46,183.53,183.56,183.59,183.56,183.5,183.42
1995,183.33,183.24,183.19,183.2,183.26,183.31,183.37,183.4,183.44,183.49,183.48,183.41
1996,183.34,183.32,183.3,183.31,183.46,183.6,183.7,183.78,183.78,183.71,183.67,183.63
1997,183.59,183.54,183.51,183.55,183.64,183.65,183.72,183.68,183.63,183.61,183.56,183.48
1998,183.4,183.34,183.29,183.35,183.34,183.39,183.41,183.38,183.33,183.26,183.21,183.19
1999,183.12,183.1,183.06,183.11,183.2,183.31,183.43,183.47,183.44,183.38,183.32,183.24
2000,183.16,183.08,183.08,183.12,183.16,183.24,183.33,183.31,183.27,183.2,183.15,183.06
2001,182.98,182.94,182.91,183.01,183.24,183.33,183.36,183.39,183.37,183.3,183.29,183.3
2002,183.22,183.14,183.11,183.14,183.26,183.31,183.36,183.4,183.42,183.44,183.36,183.26
2003,183.16,183.07,183.03,183.08,183.18,183.23,183.26,183.29,183.27,183.26,183.23,183.19
2004,183.14,183.07,183.07,183.13,183.23,183.35,183.4,183.42,183.46,183.47,183.46,183.38
2005,183.32,183.27,183.22,183.26,183.31,183.39,183.42,183.38,183.35,183.38,183.35,183.3
2006,183.24,183.18,183.12,183.16,183.24,183.3,183.31,183.3,183.2,183.13,183.04,182.98
2007,182.92,182.83,182.79,182.85,182.87,182.94,183,183.01,183.02,183.18,183.18,183.11
2008,183.08,183.03,182.97,183.01,183.18,183.29,183.41,183.42,183.37,183.32,183.27,183.19
2009,183.14,183.1,183.09,183.12,183.24,183.3,183.34,183.39,183.42,183.36,183.35,183.3
2010,183.21,183.14,183.09,183.08,183.08,183.13,183.19,183.2,183.22,183.19,183.14,183.07
2011,183,182.93,182.87,182.91,183.04,183.15,183.25,183.28,183.23,183.21,183.16,183.09
2012,183.01,182.94,182.93,183,183.06,183.2,183.3,183.27,183.2,183.12,183.1,183.05
2013,182.98,182.94,182.9,182.92,183.11,183.26,183.37,183.44,183.48,183.45,183.4,183.35
2014,183.29,183.24,183.23,183.27,183.47,183.6,183.66,183.67,183.7,183.71,183.67,183.6
2015,183.54,183.47,183.42,183.44,183.53,183.63,183.68,183.68,183.69,183.6,183.58,183.59
2016,183.55,183.49,183.46,183.48,183.51,183.61,183.69,183.7,183.7,183.68,183.59,183.54
2017,183.47,183.43,183.39,183.41,183.56,183.67,183.75,183.78,183.8,183.81,183.78,183.72
2018,183.65,183.58,183.54,183.47,183.5,183.56,183.65,183.65,183.7,183.77,183.76,183.67
2019,183.62,183.58,183.57,183.61,183.77,183.84,183.86,183.86,,,,
